Price,Mileage,EngineV,Registration,Year,Brand_BMW,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Renault,Brand_Toyota,Brand_Volkswagen,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Engine Type_Gas,Engine Type_Other,Engine Type_Petrol,Price_Category_Medium,Price_Category_High,Cluster
-0.6066562164716488,1.0822133515305097,-0.1568159311503268,1,-2.303728422809343,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
-0.4545425145562389,2.5087765233761004,0.0225430178410047,1,-1.1085342251299533,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
-0.2325387333823975,1.8525574643271283,0.4410472321541118,1,-0.5109371262902583,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
0.1662458365039472,0.7303277691419304,0.2816170552729282,1,0.0866599725494364,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
-0.0269796767399517,-0.4109227683345424,-0.1568159311503268,1,0.6842570713891313,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
7.442995329835198,-1.5521733058110152,0.5406910927048516,1,1.43125344493875,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0
-0.5285437749475194,2.6133911559781104,-0.1568159311503268,1,-1.4073327745498008,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
-0.1955381031867573,0.3499109233164394,-0.0173145263792911,1,-0.0627393021604872,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
-0.3353593735149489,0.2833379752969786,-0.2564597917010666,1,0.833656346099055,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
-0.7217692881914184,0.4640359770640868,-0.1966734753706227,0,-1.1085342251299533,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,1
-0.2880396786758579,0.1311712369667822,-0.2564597917010666,1,0.6842570713891313,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0
-0.6765462957300803,0.920536192054676,-0.1986663525816375,1,-1.855530598679572,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,1
-0.3887636164306563,0.0170461832191349,-0.0173145263792911,1,-0.5109371262902583,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1
-0.3476518051021671,-0.6011311912472879,-0.1966734753706227,1,0.2360592472593601,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0
-0.1215368427954768,0.8254319805983031,0.381260915823668,1,-0.8097356757101059,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
-0.4257642466262965,-0.7532979295774842,-0.2564597917010666,1,0.833656346099055,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
-0.6564015081791207,0.3784421867533513,-0.1568159311503268,0,-0.8097356757101059,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0.0190140361785074,0.7303277691419304,-0.1169583869300309,1,0.0866599725494364,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
0.3101371761536592,-1.3524544617526324,-0.1568159311503268,1,0.9830556208089788,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
